FID,SHAPE,BEZIRK,STRASSE,BEZUG,ONR,BIS,STIEGE,FRAKTION_PA,FRAKTION_BI,FRAKTION_DO,FRAKTION_G,FRAKTION_KV,FRAKTION_TEXT,URL_TEXT,SE_SDO_ROWID,SE_ANNO_CAD_DATA
ALTSTOFFSAMMLUNGOGD.9077832,POINT (16.278991025174108 48.16204609907815),23,Engelshofengasse,gegenüber,1,,,1,0,0,1,1," Altglas, Altpapier, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077832,
ALTSTOFFSAMMLUNGOGD.9077833,POINT (16.27568691883247 48.15504393537241),23,Erhardgasse,gegenüber,5,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077833,
ALTSTOFFSAMMLUNGOGD.9077834,POINT (16.317200338691908 48.14979403731889),23,Erilaweg,vor,3,,,0,1,0,1,1," Leichtverpackungen, Biomüll, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077834,
ALTSTOFFSAMMLUNGOGD.9077835,POINT (16.317550235386463 48.14102372005094),23,Erlaaer Straße,vor,112,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077835,
ALTSTOFFSAMMLUNGOGD.9077836,POINT (16.314879215156196 48.14209418225475),23,Erlaaer Straße,vor,133,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077836,
ALTSTOFFSAMMLUNGOGD.9077837,POINT (16.321007044666818 48.13951694543386),23,Erlaaer Straße,gegenüber,136,138,,0,0,0,1,1," Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077837,
ALTSTOFFSAMMLUNGOGD.9077838,POINT (16.325264910694372 48.13770086437615),23,Erlaaer Straße,gegenüber,197,,,0,0,0,1,1," Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077838,
ALTSTOFFSAMMLUNGOGD.9077839,POINT (16.306783734568526 48.148222246478014),23,Erlaaer Straße,neben,65,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077839,
ALTSTOFFSAMMLUNGOGD.9077840,POINT (16.308766723726148 48.14423986519429),23,Erlaaer Straße,gegenüber,97,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077840,
ALTSTOFFSAMMLUNGOGD.9077841,POINT (16.350979185205492 48.14391759586277),23,Ernanigasse,gegenüber,7,,,1,0,0,1,1," Altglas, Altpapier, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077841,
ALTSTOFFSAMMLUNGOGD.9077842,POINT (16.276880298396595 48.13660222787292),23,Fabergasse,bei,2,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077842,
ALTSTOFFSAMMLUNGOGD.9077843,POINT (16.282607400729017 48.1322143110035),23,Färbermühlgasse,gegenüber,12,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077843,
ALTSTOFFSAMMLUNGOGD.9077844,POINT (16.253548730919807 48.13562014850022),23,Feldgasse,vor,16,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077844,
ALTSTOFFSAMMLUNGOGD.9077845,POINT (16.306434139858688 48.14202477040471),23,Forchheimergasse,vor,2,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077845,
ALTSTOFFSAMMLUNGOGD.9077846,POINT (16.306343418039916 48.13927458773051),23,Forchheimergasse,vor,5,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077846,
ALTSTOFFSAMMLUNGOGD.9077847,POINT (16.272882890343755 48.1535653660925),23,Franz-Graßler-Gasse,gegenüber,18,,,1,0,0,1,1," Altglas, Altpapier, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077847,
ALTSTOFFSAMMLUNGOGD.9077848,POINT (16.2764976986976 48.15198780376128),23,Franz-Graßler-Gasse,vor,37,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077848,
ALTSTOFFSAMMLUNGOGD.9077849,POINT (16.27786369874323 48.15152588853969),23,Franz-Graßler-Gasse,vor,45,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077849,
ALTSTOFFSAMMLUNGOGD.9077850,POINT (16.27858093986114 48.151193137707395),23,Franz-Graßler-Gasse,gegenüber,51,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077850,
ALTSTOFFSAMMLUNGOGD.9077851,POINT (16.278873472937555 48.15099237325617),23,Franz-Graßler-Gasse,vor,70,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077851,
ALTSTOFFSAMMLUNGOGD.9077852,POINT (16.283942486047184 48.1341124295138),23,Franz-Parsche-Gasse,neben,8,,,1,0,0,1,1," Leichtverpackungen, Altpapier, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077852,
ALTSTOFFSAMMLUNGOGD.9077853,POINT (16.278315505366525 48.1541874162905),23,Friedensstraße,gegenüber,26,,,1,0,0,0,1," Altpapier, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077853,
ALTSTOFFSAMMLUNGOGD.9077854,POINT (16.280740700385312 48.153039805657514),23,Friedensstraße,gegenüber,40,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077854,
ALTSTOFFSAMMLUNGOGD.9077855,POINT (16.282192900864928 48.15239153923788),23,Friedensstraße,vor,75,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077855,
ALTSTOFFSAMMLUNGOGD.9077856,POINT (16.288853201765782 48.13799427880048),23,Fröhlichgasse,gegenüber,37,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077856,
ALTSTOFFSAMMLUNGOGD.9077857,POINT (16.29069726093844 48.1398703116201),23,Fröhlichgasse,gegenüber,5,,,0,0,0,1,1," Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077857,
ALTSTOFFSAMMLUNGOGD.9077858,POINT (16.330451783192178 48.151972287005684),23,Futterknechtgasse,gegenüber,1,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077858,
