FID,SHAPE,BEZIRK,ADRESSE,OEFFNUNGSZEIT,ANMERKUNG,TELEFON,WEITERE_INFORMATION,SE_SDO_ROWID,SE_ANNO_CAD_DATA
PROBLEMSTOFFOGD.743267,POINT (16.389713462951903 48.17689874650015),10,Eva-Zilcher-Gasse 3,Montag bis Samstag (werktags) von 7:00 bis 18:00,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743267,
PROBLEMSTOFFOGD.743302,POINT (16.336036168652253 48.21340853541262),16,Yppenplatz ggü 4,"Montag bis Freitag von 6:00 bis 20:00, Samstag (werktags) von 6:00 bis 18:00",Markt - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743302,
PROBLEMSTOFFOGD.743306,POINT (16.361742763244706 48.19787035415624),6,Linke Wienzeile ggü 30 (Naschmarkt),"Montag bis Freitag von 16:00 bis 18:00 Uhr, Samstag von 9:00 bis 13:00 Uhr",Markt - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743306,
PROBLEMSTOFFOGD.743311,POINT (16.332862644728245 48.180477022466576),12,Ignazgasse ggü 12 (Meidlinger Markt),"Montag bis Freitag von 16:00 bis 18:00 Uhr, Samstag von 9:00 bis 13:00 Uhr",Markt - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743311,
PROBLEMSTOFFOGD.743314,POINT (16.3765703189471 48.21757719161355),2,Im Werd ggü 7 (Karmelitermarkt),"Montag bis Freitag von 16:00 bis 18:00 Uhr, Samstag von 9:00 bis 13:00 Uhr",Markt - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743314,
PROBLEMSTOFFOGD.743315,POINT (16.40131635633986 48.22157946847602),2,Wohlmutstraße/Ennsgasse (Vorgartenmarkt),"Montag bis Freitag von 16:00 bis 18:00 Uhr, Samstag von 9:00 bis 13:00 Uhr",Markt - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743315,
PROBLEMSTOFFOGD.743316,POINT (16.45545117672744 48.17720418227695),11,Johann-Petrak-Gasse 1,Montag bis Samstag (werktags) von 7:00 bis 18:00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743316,
PROBLEMSTOFFOGD.743317,POINT (16.30394871764342 48.16109875278527),12,Wundtgasse 79,Montag bis Samstag (werktags) von 7:00 bis 18:00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743317,
PROBLEMSTOFFOGD.743217,POINT (16.228022466013165 48.20559400166494),14,Wientalstraße 51,Montag bis Samstag (werktags) von 7:00 bis 18:00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743217,
PROBLEMSTOFFOGD.743223,POINT (16.309618714028954 48.204252728612005),16,Kendlerstraße 38a,Montag bis Samstag (werktags) von 7:00 bis 18:00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743223,
PROBLEMSTOFFOGD.743225,POINT (16.320517127323495 48.224819847007765),17,Richthausenstraße 2,Montag bis Samstag (werktags) von 7:00 bis 18:00 Uhr,Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743225,
PROBLEMSTOFFOGD.743227,POINT (16.36756914034618 48.25477145848632),19,Grinzinger Straße 151,"Montag bis Freitag von 7:00 bis 18:00 Uhr, Samstag (werktags) von 8:00 bis 18:00 Uhr",Mistplatz - Prosa,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/,743227,
